X Y1 Y2
0 0.233172 0.287882
1 0.215852 0.255194
2 0.193068 0.233171
3 0.167753 0.212392
4 0.146504 0.184604
5 0.130872 0.146167
6 0.117087 0.103141
7 0.099965 0.0653589
8 0.0767034 0.0388931
9 0.0514719 0.0234012
10 0.0312322 0.0149053
11 0.018711 0.0101109
12 0.0118164 0.00723803
13 0.00797741 0.00540992
14 0.00570962 0.00418475
15 0.00428121 0.00332758
16 0.0033294 0.00270618
17 0.00266487 0.00224219
18 0.00218283 0.00188702
19 0.00182197 0.00160936
20 0.00154469 0.00138833
21 0.00132689 0.00120959
22 0.00115261 0.00106307
23 0.00101089 0.000941494
24 0.000894051 0.000839529
25 0.000796547 0.000753192
26 0.000714307 0.000679456
27 0.000644283 0.000615993
28 0.000584153 0.000560985
29 0.000532126 0.000512999
30 0.0004868 0.000470892
31 0.000447065 0.000433746
32 0.000412033 0.000400811
33 0.000380985 0.000371477
34 0.000353337 0.000345239
35 0.000328608 0.000321676
36 0.000306399 0.000300438
37 0.000286376 0.00028123
38 0.000268262 0.000263801
39 0.000251821 0.000247939
40 0.00023685 0.000233462
41 0.000223181 0.000220213
42 0.000210665 0.000208058
43 0.000199176 0.000196879
44 0.000188605 0.000186576
45 0.000178855 0.000177059
46 0.000169844 0.00016825
47 0.000161499 0.000160081
48 0.000153755 0.000152492
49 0.000146557 0.000145428
50 0.000139853 0.000138843
51 0.0001336 0.000132695
52 0.000127757 0.000126945
53 0.00012229 0.00012156
54 0.000117167 0.00011651
55 0.00011236 0.000111768
56 0.000107843 0.000107309
57 0.000103594 0.000103111
58 9.95907e-05 9.91542e-05
59 9.58156e-05 9.54204e-05
60 9.22513e-05 9.18933e-05
61 8.88825e-05 8.85578e-05
62 8.5695e-05 8.54004e-05
63 8.26761e-05 8.24086e-05
64 7.98141e-05 7.95711e-05
65 7.70982e-05 7.68773e-05
66 7.45188e-05 7.43179e-05
67 7.20667e-05 7.1884e-05
68 6.97338e-05 6.95675e-05
69 6.75124e-05 6.73611e-05
70 6.53955e-05 6.52578e-05
71 6.33767e-05 6.32514e-05
72 6.145e-05 6.1336e-05
73 5.96099e-05 5.95062e-05
74 5.78512e-05 5.77569e-05
75 5.61693e-05 5.60835e-05
76 5.45597e-05 5.44818e-05
77 5.30183e-05 5.29475e-05
78 5.15413e-05 5.14771e-05
79 5.01252e-05 5.00671e-05
80 4.87667e-05 4.87141e-05
81 4.74627e-05 4.74151e-05
82 4.62103e-05 4.61674e-05
83 4.50069e-05 4.49682e-05
84 4.38498e-05 4.38151e-05
85 4.27368e-05 4.27057e-05
86 4.16657e-05 4.16378e-05
87 4.06343e-05 4.06095e-05
88 3.96408e-05 3.96188e-05
89 3.86833e-05 3.86638e-05
90 3.776e-05 3.77429e-05
91 3.68694e-05 3.68545e-05
92 3.60099e-05 3.59971e-05
93 3.51802e-05 3.51692e-05
94 3.43788e-05 3.43695e-05
95 3.36045e-05 3.35967e-05
96 3.2856e-05 3.28497e-05
97 3.21323e-05 3.21273e-05
98 3.14322e-05 3.14284e-05
99 3.07548e-05 3.07521e-05
100 3.0099e-05 3.00974e-05
